"seqnames"	"start"	"end"	"width"	"strand"	"CLL1_0d_CD4"	"CLL1_3d_CD4"	"CLL2_0d_CD4"	"CLL2_3d_CD4"	"CLL2_8d_CD4"	"CLL2_30d_CD4"	"CLL2_120d_CD4"	"CLL4_0d_CD4"	"CLL4_2d_CD4"	"CLL4_3d_CD4"	"CLL5_0d_CD4"	"CLL5_1d_CD4"	"CLL5_2d_CD4"	"CLL5_3d_CD4"	"CLL5_8d_CD4"	"CLL5_30d_CD4"	"CLL5_150d_CD4"	"CLL5_240d_CD4"	"CLL6_30d_CD4"	"CLL6_120d_CD4"	"CLL6_280d_CD4"	"CLL7_0d_CD4"	"CLL7_1d_CD4"	"CLL7_3d_CD4"	"CLL7_8d_CD4"	"CLL7_30d_CD4"	"CLL7_150d_CD4"	"CLL8_0d_CD4"	"CLL8_3d_CD4"	"consensusIDs"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENSEMBL"	"SYMBOL"	"GENENAME"	"0"	"3"	"8"	"30"	"120"
"730"	"chr1"	94146334	94147638	1305	"*"	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	0	1	"consensus_949"	"Promoter"	1	94027343	94146926	119584	2	"8412"	"uc001dpz.4"	0	"ENSG00000137936"	"BCAR3"	"BCAR3 adaptor protein, NSP family member"	0.166666666666667	0.7	0.666666666666667	0.75	0.666666666666667
"764"	"chr1"	107683484	107684444	961	"*"	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	"consensus_989"	"Promoter"	1	107683549	107953207	269659	1	"22854"	"uc001dvd.1"	0	"ENSG00000162631"	"NTNG1"	"netrin G1"	0.166666666666667	0.7	0.333333333333333	0.75	0.666666666666667
"969"	"chr1"	154474330	154475130	801	"*"	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	0	0	"consensus_1247"	"Promoter"	1	154474695	154520623	45929	1	"126668"	"uc001ffd.3"	0	"ENSG00000163239"	"TDRD10"	"tudor domain containing 10"	0.166666666666667	0.4	0.666666666666667	0.75	0.5
"1124"	"chr1"	167599250	167599716	467	"*"	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	"consensus_1445"	"Promoter"	1	167599474	167675486	76013	1	"92241"	"uc001gem.3"	0	"ENSG00000198771"	"RCSD1"	"RCSD domain containing 1"	0	0.5	0.666666666666667	0.75	0.5
"1225"	"chr1"	196620657	196621294	638	"*"	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	"consensus_1575"	"Promoter"	1	196621008	196670695	49688	1	"3075"	"uc001gti.4"	0	"ENSG00000000971"	"CFH"	"complement factor H"	0.166666666666667	0.3	1	0.75	0.166666666666667
"1240"	"chr1"	200860121	200860682	562	"*"	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	"consensus_1595"	"Promoter"	1	200860627	200884864	24238	1	"55765"	"uc001gvo.4"	0	"ENSG00000163362"	"INAVA"	"innate immunity activator"	0	0.3	0.333333333333333	0.75	0.166666666666667
"1250"	"chr1"	201857801	201858260	460	"*"	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	1	"consensus_1609"	"Promoter"	1	201857805	201861715	3911	1	"149345"	"uc001gxa.3"	0	"ENSG00000198892"	"SHISA4"	"shisa family member 4"	0.166666666666667	0.7	0.666666666666667	0.75	0.666666666666667
"1282"	"chr1"	204042068	204043024	957	"*"	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	"consensus_1652"	"Promoter"	1	204042246	204088974	46729	1	"9580"	"uc001hal.3"	0	"ENSG00000143842"	"SOX13"	"SRY-box transcription factor 13"	0.166666666666667	0.6	0.666666666666667	0.75	0.833333333333333
"1317"	"chr1"	207002668	207003075	408	"*"	0	0	0	1	1	1	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	"consensus_1696"	"Promoter"	1	207002222	207016326	14105	1	"29949"	"uc001hep.3"	446	"ENSG00000142224"	"IL19"	"interleukin 19"	0	0.5	1	0.75	0.333333333333333
"1331"	"chr1"	209824589	209824999	411	"*"	0	0	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	"consensus_1716"	"Promoter"	1	209788218	209824679	36462	2	"3914"	"uc001hhg.3"	0	"ENSG00000196878"	"LAMB3"	"laminin subunit beta 3"	0	0.6	1	0.75	0.833333333333333
"1483"	"chr1"	240774884	240775714	831	"*"	0	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	"consensus_1912"	"Promoter"	1	240652873	240775462	122590	2	"64388"	"uc001hys.3"	0	"ENSG00000180875"	"GREM2"	"gremlin 2, DAN family BMP antagonist"	0.166666666666667	0.7	1	0.75	0.833333333333333
"1624"	"chr10"	27390322	27390730	409	"*"	0	0	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	"consensus_2099"	"Promoter"	10	27293045	27389427	96383	2	"22852"	"uc009xku.1"	-895	"ENSG00000107890"	"ANKRD26"	"ankyrin repeat domain 26"	0.166666666666667	0.7	0.666666666666667	0.75	0.5
"1929"	"chr10"	100185430	100185818	389	"*"	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	1	0	1	"consensus_2507"	"Promoter"	10	100183360	100185742	2383	2	"3257"	"uc010qpg.2"	0	"ENSG00000107521"	"HPS1"	"HPS1 biogenesis of lysosomal organelles complex 3 subunit 1"	0.166666666666667	0.6	1	0.75	0.666666666666667
"2046"	"chr10"	116391602	116392215	614	"*"	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	"consensus_2655"	"Promoter"	10	116200776	116392100	191325	2	"3983"	"uc021pze.1"	0	"ENSG00000099204"	"ABLIM1"	"actin binding LIM protein 1"	0.166666666666667	0.8	0.666666666666667	0.75	0.666666666666667
"2258"	"chr11"	12399003	12399761	759	"*"	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	0	1	"consensus_2974"	"Promoter"	11	12399026	12502356	103331	1	"55742"	"uc001mkh.3"	0	"ENSG00000197702"	"PARVA"	"parvin alpha"	0.166666666666667	0.5	0.333333333333333	0.75	0.833333333333333
"2342"	"chr11"	36615804	36616651	848	"*"	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	"consensus_3096"	"Promoter"	11	36616043	36680841	64799	1	"119710"	"uc001mwy.2"	0	"ENSG00000166352"	"C11orf74"	"chromosome 11 open reading frame 74"	0.166666666666667	0.1	0.666666666666667	0.75	0.333333333333333
"2352"	"chr11"	44970751	44971535	785	"*"	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	"consensus_3110"	"Promoter"	11	44953899	44971759	17861	2	"9537"	"uc001myi.4"	224	"ENSG00000175274"	"TP53I11"	"tumor protein p53 inducible protein 11"	0	0.4	0.333333333333333	0.75	0.5
"2373"	"chr11"	46939593	46940334	742	"*"	0	1	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	1	"consensus_3139"	"Promoter"	11	46878268	46940173	61906	2	"4038"	"uc001ndn.4"	0	"ENSG00000134569"	"LRP4"	"LDL receptor related protein 4"	0.166666666666667	0.8	0.666666666666667	0.75	0.5
"2486"	"chr11"	63719411	63719906	496	"*"	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	0	1	"consensus_3284"	"Promoter"	11	63720165	63724446	4282	1	"79829"	"uc010rmy.2"	-259	"ENSG00000110583"	"NAA40"	"N(alpha)-acetyltransferase 40, NatD catalytic subunit"	0.166666666666667	0.5	1	0.75	0.5
"2549"	"chr11"	65393412	65393837	426	"*"	0	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	"consensus_3363"	"Promoter"	11	65394324	65404910	10587	1	"399909"	"uc001oez.2"	-487	"ENSG00000197136"	"PCNX3"	"pecanex 3"	0.166666666666667	0.6	0.666666666666667	0.75	0.666666666666667
"2800"	"chr11"	111411258	111411800	543	"*"	0	1	0	1	0	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	1	0	1	"consensus_3688"	"Promoter"	11	111411233	111432470	21238	1	"143903"	"uc010rwg.2"	25	"ENSG00000204381"	"LAYN"	"layilin"	0.166666666666667	0.7	0.666666666666667	0.75	0.333333333333333
"2824"	"chr11"	115630643	115631134	492	"*"	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	1	"consensus_3721"	"Promoter"	11	115626051	115630918	4868	2	"283143"	"uc001ppm.2"	0	NA	"LINC00900"	"long intergenic non-protein coding RNA 900"	0	0.6	0.333333333333333	0.75	0.166666666666667
"3038"	"chr12"	9142049	9142392	344	"*"	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0	0	1	"consensus_4005"	"Promoter"	12	9142221	9163340	21120	1	"10219"	"uc001qvg.3"	0	"ENSG00000139187"	"KLRG1"	"killer cell lectin like receptor G1"	0.166666666666667	0.3	0.666666666666667	0.75	0.5
"3044"	"chr12"	9785264	9785665	402	"*"	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	"consensus_4013"	"Promoter"	12	9786015	9811010	24996	1	"374443"	"uc001qwd.2"	-350	"ENSG00000256594"	"LOC374443"	"C-type lectin domain family 2 member D pseudogene"	0.166666666666667	0.6	0.333333333333333	0.75	0.166666666666667
"3084"	"chr12"	15037361	15037918	558	"*"	1	0	0	1	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	1	"consensus_4061"	"Promoter"	12	15034115	15038853	4739	2	"4256"	"uc001rcn.2"	935	"ENSG00000111341"	"MGP"	"matrix Gla protein"	0.166666666666667	0.5	0.666666666666667	0.75	0.5
"3130"	"chr12"	30948453	30949730	1278	"*"	0	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	"consensus_4126"	"Promoter"	12	30948615	30955645	7031	1	"100287314"	"uc001rjo.2"	0	NA	"LINC00941"	"long intergenic non-protein coding RNA 941"	0.166666666666667	0.7	0.333333333333333	0.75	0.666666666666667
"3157"	"chr12"	42983205	42983842	638	"*"	0	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	0	1	"consensus_4160"	"Promoter"	12	42852140	42983572	131433	2	"144165"	"uc001rnm.3"	0	"ENSG00000139174"	"PRICKLE1"	"prickle planar cell polarity protein 1"	0.166666666666667	0.7	0.666666666666667	0.75	0.333333333333333
"3296"	"chr12"	54694478	54694934	457	"*"	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	"consensus_4335"	"Promoter"	12	54685891	54694821	8931	2	"4778"	"uc001sfr.5"	0	"ENSG00000123405"	"NFE2"	"nuclear factor, erythroid 2"	0.166666666666667	0.6	0.666666666666667	0.75	0.5
"3308"	"chr12"	56031279	56031757	479	"*"	0	0	0	1	1	0	1	1	0	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	"consensus_4352"	"Promoter"	12	56030676	56031617	942	1	"121130"	"uc010spq.2"	603	"ENSG00000175398"	"OR10P1"	"olfactory receptor family 10 subfamily P member 1"	0.166666666666667	0.4	0.666666666666667	0.75	0.666666666666667
"3454"	"chr12"	82152462	82153429	968	"*"	0	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	1	1	0	1	"consensus_4540"	"Promoter"	12	81652045	82152474	500430	2	"8499"	"uc031qiq.1"	0	"ENSG00000139220"	"PPFIA2"	"PTPRF interacting protein alpha 2"	0.166666666666667	0.7	0.333333333333333	0.75	0.5
"3736"	"chr13"	21634637	21635018	382	"*"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	"consensus_4929"	"Promoter"	13	21547176	21634429	87254	2	"26524"	"uc009zzs.3"	-208	"ENSG00000150457"	"LATS2"	"large tumor suppressor kinase 2"	0	0.1	0	0.75	0.166666666666667
"3754"	"chr13"	25254486	25255014	529	"*"	0	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	"consensus_4954"	"Promoter"	13	25254549	25285923	31375	1	"479"	"uc001upp.3"	0	"ENSG00000075673"	"ATP12A"	"ATPase H+/K+ transporting non-gastric alpha2 subunit"	0.166666666666667	0.7	0.333333333333333	0.75	0.5
"3787"	"chr13"	33590241	33592052	1812	"*"	0	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	"consensus_4996"	"Promoter"	13	33590571	33640282	49712	1	"9365"	"uc001uus.3"	0	"ENSG00000133116"	"KL"	"klotho"	0.166666666666667	0.7	0.666666666666667	0.75	0.666666666666667
"3865"	"chr13"	52701870	52702260	391	"*"	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	"consensus_5098"	"Promoter"	13	52638900	52703214	64315	2	"341676"	"uc001vge.3"	954	"ENSG00000197168"	"NEK5"	"NIMA related kinase 5"	0	0.2	0	1	0.333333333333333
"3926"	"chr13"	103054697	103054972	276	"*"	0	0	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	"consensus_5201"	"Promoter"	13	102373205	103054124	680920	2	"2259"	"uc001vpf.2"	-573	"ENSG00000102466"	"FGF14"	"fibroblast growth factor 14"	0.166666666666667	0.7	0.666666666666667	0.75	0.833333333333333
"3972"	"chr14"	20881947	20882222	276	"*"	0	0	0	1	0	1	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	1	"consensus_5263"	"Promoter"	14	20836067	20881579	45513	2	"7011"	"uc010tlg.1"	-368	"ENSG00000129566"	"TEP1"	"telomerase associated protein 1"	0	0.6	0.333333333333333	0.75	0.5
"4003"	"chr14"	23452495	23452798	304	"*"	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	"consensus_5301"	"Promoter"	14	23440410	23451848	11439	2	"84962"	"uc001whz.3"	-647	"ENSG00000129474"	"AJUBA"	"ajuba LIM protein"	0.166666666666667	0.6	1	0.75	0.666666666666667
"4136"	"chr14"	54423221	54423805	585	"*"	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	1	"consensus_5469"	"Promoter"	14	54416455	54423554	7100	2	"652"	"uc001xan.4"	0	"ENSG00000125378"	"BMP4"	"bone morphogenetic protein 4"	0.166666666666667	0.6	0.666666666666667	0.75	0.5
"4336"	"chr14"	92413724	92414222	499	"*"	0	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	1	"consensus_5716"	"Promoter"	14	92335755	92414046	78292	2	"10516"	"uc001xzx.4"	0	"ENSG00000140092"	"FBLN5"	"fibulin 5"	0.166666666666667	0.6	1	0.75	0.5
"4345"	"chr14"	93532384	93532971	588	"*"	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	1	1	1	0	1	"consensus_5729"	"Promoter"	14	93533797	93538478	4682	1	"319085"	"uc001ybi.3"	-826	"ENSG00000258730"	"ITPK1-AS1"	"ITPK1 antisense RNA 1"	0.166666666666667	0.6	0.666666666666667	0.75	0.5
"4466"	"chr15"	37392389	37392855	467	"*"	0	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	"consensus_5913"	"Promoter"	15	37183222	37392341	209120	2	"4212"	"uc001zjs.4"	-48	"ENSG00000134138"	"MEIS2"	"Meis homeobox 2"	0.166666666666667	0.5	0.666666666666667	1	0.166666666666667
"4476"	"chr15"	40396995	40397520	526	"*"	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	"consensus_5927"	"Promoter"	15	40380091	40398292	18202	2	"90427"	"uc001zkt.4"	772	"ENSG00000104081"	"BMF"	"Bcl2 modifying factor"	0.166666666666667	0.3	1	0.75	0.333333333333333
"4537"	"chr15"	43668307	43668640	334	"*"	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	0	1	"consensus_6001"	"Promoter"	15	43668701	43698240	29540	1	"27229"	"uc010bdh.3"	-61	"ENSG00000137822"	"TUBGCP4"	"tubulin gamma complex associated protein 4"	0.166666666666667	0.7	1	1	0.166666666666667
"4554"	"chr15"	45002538	45003092	555	"*"	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	"consensus_6022"	"Promoter"	15	44966961	45003514	36554	2	"197135"	"uc031qrq.1"	422	"ENSG00000229474"	"PATL2"	"PAT1 homolog 2"	0.166666666666667	0.3	0.666666666666667	0.75	0.166666666666667
"4626"	"chr15"	59730109	59730790	682	"*"	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	1	1	0	1	"consensus_6107"	"Promoter"	15	59730372	59752749	22378	1	"145773"	"uc010uha.2"	0	"ENSG00000157470"	"FAM81A"	"family with sequence similarity 81 member A"	0.166666666666667	0.4	0.333333333333333	0.75	0.333333333333333
"4698"	"chr15"	71407543	71408215	673	"*"	0	0	0	1	0	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	"consensus_6210"	"Promoter"	15	71402583	71407839	5257	2	"196993"	"uc002ata.2"	0	"ENSG00000225362"	"CT62"	"cancer/testis antigen 62"	0.166666666666667	0.5	0.666666666666667	0.75	0.833333333333333
"4795"	"chr15"	83316113	83317055	943	"*"	0	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	0	1	"consensus_6344"	"Promoter"	15	83316521	83361572	45052	1	"283692"	"uc031qtd.1"	0	"ENSG00000259462"	"CPEB1-AS1"	"CPEB1 antisense RNA 1"	0.166666666666667	0.8	0.666666666666667	0.75	0.5
"4928"	"chr16"	776844	777432	589	"*"	0	0	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	"consensus_6526"	"Promoter"	16	772582	776880	4299	2	"124093"	"uc002cjh.3"	0	"ENSG00000162004"	"CCDC78"	"coiled-coil domain containing 78"	0.166666666666667	0.6	0.666666666666667	0.75	0.833333333333333
"4937"	"chr16"	1383092	1383814	723	"*"	0	1	0	1	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	"consensus_6539"	"Promoter"	16	1383606	1399442	15837	1	"8938"	"uc002clj.3"	0	"ENSG00000007516"	"BAIAP3"	"BAI1 associated protein 3"	0.166666666666667	0.7	0.666666666666667	0.75	0.833333333333333
"5113"	"chr16"	21312004	21312472	469	"*"	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	"consensus_6768"	"Promoter"	16	21312170	21329912	17743	1	"400508"	"uc010bwr.1"	0	NA	"CRYM-AS1"	"CRYM antisense RNA 1"	0.166666666666667	0.6	1	0.75	0.666666666666667
"5241"	"chr16"	31271002	31271497	496	"*"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	1	1	0	1	"consensus_6927"	"Promoter"	16	31271288	31344213	72926	1	"3684"	"uc002ebq.3"	0	"ENSG00000169896"	"ITGAM"	"integrin subunit alpha M"	0	0.2	0.333333333333333	0.75	0.5
"5243"	"chr16"	31438829	31439347	519	"*"	0	1	0	1	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	"consensus_6931"	"Promoter"	16	31439052	31439749	698	2	"1339"	"uc002ebx.2"	402	"ENSG00000156885"	"COX6A2"	"cytochrome c oxidase subunit 6A2"	0.166666666666667	0.8	0.333333333333333	0.75	0.5
"5261"	"chr16"	48190635	48191003	369	"*"	0	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	"consensus_6959"	"Promoter"	16	48167598	48189929	22332	2	"94160"	"uc010vgj.1"	-706	"ENSG00000140798"	"ABCC12"	"ATP binding cassette subfamily C member 12"	0.166666666666667	0.9	0.666666666666667	0.75	0.833333333333333
"5727"	"chr17"	10101409	10102653	1245	"*"	0	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	"consensus_7579"	"Promoter"	17	9813926	10101868	287943	2	"8522"	"uc002gmg.1"	0	"ENSG00000007237"	"GAS7"	"growth arrest specific 7"	0.166666666666667	0.8	0.666666666666667	0.75	0.833333333333333
"5965"	"chr17"	38074695	38074994	300	"*"	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	"consensus_7881"	"Promoter"	17	38060848	38074903	14056	2	"55876"	"uc002hth.3"	0	"ENSG00000073605"	"GSDMB"	"gasdermin B"	0	0.1	0.666666666666667	0.75	0.333333333333333
"6094"	"chr17"	44895951	44896503	553	"*"	0	0	0	1	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	"consensus_8036"	"Promoter"	17	44839872	44896126	56255	2	"7473"	"uc002ikv.3"	0	"ENSG00000108379"	"WNT3"	"Wnt family member 3"	0.166666666666667	0.7	0.666666666666667	0.75	0.666666666666667
