"seqnames"	"start"	"end"	"width"	"strand"	"CLL1_0d_CD4"	"CLL1_3d_CD4"	"CLL2_0d_CD4"	"CLL2_3d_CD4"	"CLL2_8d_CD4"	"CLL2_30d_CD4"	"CLL2_120d_CD4"	"CLL4_0d_CD4"	"CLL4_2d_CD4"	"CLL4_3d_CD4"	"CLL5_0d_CD4"	"CLL5_1d_CD4"	"CLL5_2d_CD4"	"CLL5_3d_CD4"	"CLL5_8d_CD4"	"CLL5_30d_CD4"	"CLL5_150d_CD4"	"CLL5_240d_CD4"	"CLL6_30d_CD4"	"CLL6_120d_CD4"	"CLL6_280d_CD4"	"CLL7_0d_CD4"	"CLL7_1d_CD4"	"CLL7_3d_CD4"	"CLL7_8d_CD4"	"CLL7_30d_CD4"	"CLL7_150d_CD4"	"CLL8_0d_CD4"	"CLL8_3d_CD4"	"consensusIDs"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"	"ENSEMBL"	"SYMBOL"	"GENENAME"	"0"	"3"	"8"	"30"	"120"
"2486"	"chr11"	63719411	63719906	496	"*"	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	0	1	"consensus_3284"	"Promoter"	11	63720165	63724446	4282	1	"79829"	"uc010rmy.2"	-259	"ENSG00000110583"	"NAA40"	"N(alpha)-acetyltransferase 40, NatD catalytic subunit"	0.166666666666667	0.5	1	0.75	0.5
"2871"	"chr11"	118978895	118979292	398	"*"	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	"consensus_3775"	"Promoter"	11	118978093	118987827	9735	1	"9854"	"uc001pvo.3"	802	"ENSG00000172375"	"C2CD2L"	"C2CD2 like"	0.166666666666667	0.6	1	0.5	0.333333333333333
"3179"	"chr12"	48137796	48138097	302	"*"	0	0	0	1	1	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	"consensus_4186"	"Promoter"	12	48128453	48138689	10237	2	"10411"	"uc001rpx.3"	592	"ENSG00000079337"	"RAPGEF3"	"Rap guanine nucleotide exchange factor 3"	0.166666666666667	0.5	1	0.5	0.166666666666667
"4003"	"chr14"	23452495	23452798	304	"*"	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	"consensus_5301"	"Promoter"	14	23440410	23451848	11439	2	"84962"	"uc001whz.3"	-647	"ENSG00000129474"	"AJUBA"	"ajuba LIM protein"	0.166666666666667	0.6	1	0.75	0.666666666666667
"4170"	"chr14"	60632806	60633180	375	"*"	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"consensus_5507"	"Promoter"	14	60611500	60632211	20712	2	"51635"	"uc001xes.3"	-595	"ENSG00000100612"	"DHRS7"	"dehydrogenase/reductase 7"	0.166666666666667	0	1	0.25	0
"4336"	"chr14"	92413724	92414222	499	"*"	0	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	1	"consensus_5716"	"Promoter"	14	92335755	92414046	78292	2	"10516"	"uc001xzx.4"	0	"ENSG00000140092"	"FBLN5"	"fibulin 5"	0.166666666666667	0.6	1	0.75	0.5
"4476"	"chr15"	40396995	40397520	526	"*"	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	"consensus_5927"	"Promoter"	15	40380091	40398292	18202	2	"90427"	"uc001zkt.4"	772	"ENSG00000104081"	"BMF"	"Bcl2 modifying factor"	0.166666666666667	0.3	1	0.75	0.333333333333333
"4537"	"chr15"	43668307	43668640	334	"*"	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	0	1	"consensus_6001"	"Promoter"	15	43668701	43698240	29540	1	"27229"	"uc010bdh.3"	-61	"ENSG00000137822"	"TUBGCP4"	"tubulin gamma complex associated protein 4"	0.166666666666667	0.7	1	1	0.166666666666667
"4728"	"chr15"	75081026	75081493	468	"*"	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	1	"consensus_6249"	"Promoter"	15	75081013	75081098	86	2	"100616183"	"uc021sql.1"	0	"ENSG00000264386"	"MIR4513"	"microRNA 4513"	0	0.5	1	0	0.333333333333333
"4914"	"chr16"	616836	617136	301	"*"	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	"consensus_6508"	"Promoter"	16	617032	619495	2464	1	"283948"	"uc002chl.3"	0	"ENSG00000257108"	"NHLRC4"	"NHL repeat containing 4"	0	0.5	1	0.25	0.166666666666667
"5113"	"chr16"	21312004	21312472	469	"*"	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	"consensus_6768"	"Promoter"	16	21312170	21329912	17743	1	"400508"	"uc010bwr.1"	0	NA	"CRYM-AS1"	"CRYM antisense RNA 1"	0.166666666666667	0.6	1	0.75	0.666666666666667
"5315"	"chr16"	57662353	57662692	340	"*"	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	1	"consensus_7035"	"Promoter"	16	57662419	57698944	36526	1	"9289"	"uc002emd.2"	0	"ENSG00000205336"	"ADGRG1"	"adhesion G protein-coupled receptor G1"	0	0.4	1	0.5	0.666666666666667
"5505"	"chr16"	88536022	88536474	453	"*"	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	"consensus_7286"	"Promoter"	16	88535326	88535439	114	1	"100847057"	"uc031qxh.1"	696	"ENSG00000263456"	"MIR5189"	"microRNA 5189"	0.166666666666667	0.8	1	0.5	0.166666666666667
"5563"	"chr17"	1390166	1390709	544	"*"	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	"consensus_7370"	"Promoter"	17	1371134	1389470	18337	2	"4641"	"uc010vqj.1"	-696	"ENSG00000197879"	"MYO1C"	"myosin IC"	0	0.4	1	0.25	0.5
"5640"	"chr17"	5972261	5972618	358	"*"	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"consensus_7463"	"Promoter"	17	5972426	6027747	55322	1	"23302"	"uc031qyk.1"	0	"ENSG00000179314"	"WSCD1"	"WSC domain containing 1"	0	0.3	1	0	0.166666666666667
"5643"	"chr17"	6376485	6376836	352	"*"	0	0	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	"consensus_7467"	"Promoter"	17	6354583	6376536	21954	2	"83394"	"uc010clm.3"	0	"ENSG00000091622"	"PITPNM3"	"PITPNM family member 3"	0.166666666666667	0.5	1	0.25	0.166666666666667
"6289"	"chr17"	66396127	66396378	252	"*"	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	"consensus_8288"	"Promoter"	17	66396297	66417000	20704	1	"22901"	"uc010dex.1"	0	"ENSG00000141337"	"ARSG"	"arylsulfatase G"	0.166666666666667	0.2	1	0	0
"6301"	"chr17"	71824041	71824520	480	"*"	0	0	0	1	1	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	"consensus_8310"	"Promoter"	17	71745409	71824676	79268	2	"283982"	"uc010dfo.2"	156	NA	"LINC00469"	"long intergenic non-protein coding RNA 469"	0	0.4	1	0.5	0.5
"6304"	"chr17"	72270235	72271236	1002	"*"	0	0	0	1	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	"consensus_8313"	"Promoter"	17	72270386	72311023	40638	1	"64446"	"uc002jkf.3"	0	"ENSG00000171595"	"DNAI2"	"dynein axonemal intermediate chain 2"	0	0.5	1	0.5	0.166666666666667
"6382"	"chr17"	75315168	75315765	598	"*"	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	"consensus_8422"	"Promoter"	17	75315597	75496678	181082	1	"10801"	"uc002jtu.4"	0	"ENSG00000184640"	"SEPTIN9"	"septin 9"	0.166666666666667	0.8	1	0.5	0.833333333333333
"6390"	"chr17"	75471150	75471532	383	"*"	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	"consensus_8430"	"Promoter"	17	75471325	75496678	25354	1	"10801"	"uc010dhd.3"	0	"ENSG00000184640"	"SEPTIN9"	"septin 9"	0.166666666666667	0.3	1	0.5	0.166666666666667
"6395"	"chr17"	76125747	76126414	668	"*"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	"consensus_8436"	"Promoter"	17	76126859	76128589	1731	1	"147138"	"uc010dhh.1"	-445	"ENSG00000167895"	"TMC8"	"transmembrane channel like 8"	0	0.2	1	0	0.166666666666667
"6978"	"chr19"	12162974	12164045	1072	"*"	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	1	"consensus_9252"	"Promoter"	19	12154620	12163782	9163	2	"729747"	"uc021upl.1"	0	"ENSG00000257446"	"ZNF878"	"zinc finger protein 878"	0.166666666666667	0.8	1	0.5	0.666666666666667
"7046"	"chr19"	14675070	14675540	471	"*"	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	"consensus_9340"	"Promoter"	19	14675591	14676792	1202	1	"9524"	"uc002mze.3"	-51	"ENSG00000099797"	"TECR"	"trans-2,3-enoyl-CoA reductase"	0.166666666666667	0.5	1	0.25	0.5
"7057"	"chr19"	15783510	15784064	555	"*"	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	0	0	0	"consensus_9365"	"Promoter"	19	15783828	15791754	7927	1	"66002"	"uc010xoo.2"	0	"ENSG00000186204"	"CYP4F12"	"cytochrome P450 family 4 subfamily F member 12"	0	0.5	1	0	0.5
"7170"	"chr19"	21665622	21666203	582	"*"	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	"consensus_9510"	"Promoter"	19	21666176	21682696	16521	1	"400680"	"uc002nqa.3"	0	"ENSG00000268658"	"LINC00664"	"long intergenic non-protein coding RNA 664"	0.166666666666667	0.9	1	0.75	0.666666666666667
"7176"	"chr19"	22193200	22193955	756	"*"	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	"consensus_9517"	"Promoter"	19	22115760	22193745	77986	2	"7757"	"uc002nqo.1"	0	"ENSG00000160321"	"ZNF208"	"zinc finger protein 208"	0	0.3	1	0.5	0.166666666666667
"7226"	"chr19"	35626210	35626661	452	"*"	0	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	"consensus_9582"	"Promoter"	19	35621991	35626178	4188	2	"163175"	"uc002nya.3"	-32	"ENSG00000153902"	"LGI4"	"leucine rich repeat LGI family member 4"	0.166666666666667	1	1	0.5	0.666666666666667
"7240"	"chr19"	36164043	36164791	749	"*"	0	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	"consensus_9601"	"Promoter"	19	36158850	36164193	5344	2	"100862728"	"uc002oax.1"	0	"ENSG00000226510"	"UPK1A-AS1"	"UPK1A antisense RNA 1"	0.166666666666667	0.8	1	0.75	0.833333333333333
"7517"	"chr19"	48751751	48752027	277	"*"	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	"consensus_9948"	"Promoter"	19	48711343	48752890	41548	2	"22900"	"uc002pie.4"	863	"ENSG00000105483"	"CARD8"	"caspase recruitment domain family member 8"	0.166666666666667	0.1	1	0	0.166666666666667
"7586"	"chr19"	50193633	50194856	1224	"*"	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	"consensus_10041"	"Promoter"	19	50194365	50215600	21236	1	"126129"	"uc002ppl.4"	0	"ENSG00000169169"	"CPT1C"	"carnitine palmitoyltransferase 1C"	0.166666666666667	0.5	1	0.5	0.833333333333333
"8878"	"chr20"	31262121	31262544	424	"*"	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	"consensus_11805"	"Promoter"	20	31219427	31261743	42317	2	"284805"	"uc002wxz.3"	-378	"ENSG00000198547"	"C20orf203"	"chromosome 20 open reading frame 203"	0.166666666666667	0.6	1	0.75	0.666666666666667
"9006"	"chr20"	45191099	45191498	400	"*"	0	0	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	"consensus_11974"	"Promoter"	20	45186462	45192254	5793	2	"64849"	"uc002xse.2"	756	"ENSG00000158296"	"SLC13A3"	"solute carrier family 13 member 3"	0.166666666666667	0.5	1	0.5	0.5
"9159"	"chr21"	32090615	32091145	531	"*"	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	"consensus_12204"	"Promoter"	21	32090843	32091095	253	2	"100288323"	"uc021wii.1"	0	"ENSG00000231068"	"KRTAP21-3"	"keratin associated protein 21-3"	0.166666666666667	0.4	1	0	0.166666666666667
"9186"	"chr21"	35898653	35899514	862	"*"	1	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	"consensus_12242"	"Promoter"	21	35888784	35899261	10478	2	"1827"	"uc002yub.3"	0	"ENSG00000159200"	"RCAN1"	"regulator of calcineurin 1"	0.166666666666667	0.3	1	0.5	0.333333333333333
"9374"	"chr22"	24384069	24384913	845	"*"	0	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	"consensus_12501"	"Promoter"	22	24376139	24384284	8146	2	"2952"	"uc002zze.4"	0	"ENSG00000277656"	"GSTT1"	"glutathione S-transferase theta 1"	0.166666666666667	0.8	1	0.5	0.833333333333333
"9422"	"chr22"	31002772	31003395	624	"*"	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	0	1	"consensus_12566"	"Promoter"	22	30972612	31003000	30389	2	"23481"	"uc003ain.1"	0	"ENSG00000100029"	"PES1"	"pescadillo ribosomal biogenesis factor 1"	0.166666666666667	0.7	1	0.5	0.5
"9465"	"chr22"	36562847	36563217	371	"*"	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	"consensus_12622"	"Promoter"	22	36536371	36562225	25855	2	"80833"	"uc003aov.3"	-622	"ENSG00000128284"	"APOL3"	"apolipoprotein L3"	0.166666666666667	0.4	1	0.5	0.333333333333333
"9525"	"chr22"	39417028	39417243	216	"*"	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	1	0	0	1	"consensus_12708"	"Promoter"	22	39417118	39421676	4559	1	"140564"	"uc021wpq.1"	0	"ENSG00000243811"	"APOBEC3D"	"apolipoprotein B mRNA editing enzyme catalytic subunit 3D"	0	0.7	1	0.25	0.166666666666667
"9702"	"chr3"	10328566	10328886	321	"*"	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	"consensus_12945"	"Promoter"	3	10329098	10335133	6036	1	"100126793"	"uc011auk.2"	-212	"ENSG00000240288"	"GHRLOS"	"ghrelin opposite strand/antisense RNA"	0	0.3	1	0.5	0.333333333333333
"10452"	"chr3"	194406298	194406895	598	"*"	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	0	1	"consensus_13952"	"Promoter"	3	194406622	194409766	3145	1	"131583"	"uc003fuj.3"	0	"ENSG00000185112"	"FAM43A"	"family with sequence similarity 43 member A"	0	0.5	1	0.5	0.666666666666667
"10523"	"chr4"	2956039	2956951	913	"*"	0	0	0	1	1	0	0	1	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	1	"consensus_14044"	"Promoter"	4	2939664	2955372	15709	2	"8602"	"uc010icp.2"	-667	"ENSG00000087269"	"NOP14"	"NOP14 nucleolar protein"	0.166666666666667	0.6	1	0.5	0.666666666666667
"11105"	"chr5"	42423384	42424056	673	"*"	0	0	0	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	"consensus_14844"	"Promoter"	5	42423877	42721980	298104	1	"2690"	"uc003jmt.3"	0	"ENSG00000112964"	"GHR"	"growth hormone receptor"	0.166666666666667	0.4	1	0.75	0.333333333333333
"11350"	"chr5"	131310228	131311411	1184	"*"	0	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	1	"consensus_15160"	"Promoter"	5	131285667	131309728	24062	2	"23305"	"uc003kvw.2"	-500	"ENSG00000164398"	"ACSL6"	"acyl-CoA synthetase long chain family member 6"	0.166666666666667	0.8	1	0.75	0.333333333333333
"11526"	"chr5"	156771317	156771882	566	"*"	1	0	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	1	"consensus_15405"	"Promoter"	5	156768607	156772729	4123	2	"408263"	"uc003lwu.2"	847	"ENSG00000172568"	"FNDC9"	"fibronectin type III domain containing 9"	0.166666666666667	0.5	1	0.75	0.666666666666667
"11574"	"chr5"	172324408	172324756	349	"*"	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	"consensus_15469"	"Promoter"	5	172323828	172379688	55861	1	"57222"	"uc003mby.4"	580	"ENSG00000113719"	"ERGIC1"	"endoplasmic reticulum-golgi intermediate compartment 1"	0.166666666666667	0.3	1	0.25	0.333333333333333
"11667"	"chr6"	2900671	2901000	330	"*"	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	"consensus_15596"	"Promoter"	6	2899247	2900910	1664	2	"5272"	"uc003muh.3"	0	"ENSG00000170542"	"SERPINB9"	"serpin family B member 9"	0.166666666666667	0.2	1	0.5	0
"11824"	"chr6"	27791434	27791987	554	"*"	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	"consensus_15791"	"Promoter"	6	27791903	27792258	356	1	"8363"	"uc003njp.3"	0	"ENSG00000197238"	"H4C11"	"H4 clustered histone 11"	0.166666666666667	0.2	1	0.25	0.833333333333333
"11904"	"chr6"	31543136	31543658	523	"*"	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	"consensus_15889"	"Promoter"	6	31543344	31546112	2769	1	"7124"	"uc003nui.4"	0	"ENSG00000232810"	"TNF"	"tumor necrosis factor"	0.166666666666667	0.7	1	0.75	0.833333333333333
"12677"	"chr7"	45016937	45017250	314	"*"	0	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0	1	0	1	"consensus_16962"	"Promoter"	7	45005672	45016670	10999	2	"64005"	"uc003tmi.1"	-267	"ENSG00000136286"	"MYO1G"	"myosin IG"	0.166666666666667	0.7	1	0.25	0.666666666666667
